RN,RN_CD,geometry
대공원로111번길,4310096,"0    LINESTRING (129.2947107322878 35.5308629755970...
Name: geometry, dtype: object"
대공원로115번길,4310097,"0    LINESTRING (129.2949138133249 35.5304553385684...
Name: geometry, dtype: object"
대공원로141번길,4310098,"0    LINESTRING (129.2969691473303 35.5292793444223...
Name: geometry, dtype: object"
대공원로207번길,4310099,"0    LINESTRING (129.3038181972132 35.5301744669115...
Name: geometry, dtype: object"
대공원로237번길,4310100,"0    LINESTRING (129.3069674959793 35.5304936329446...
Name: geometry, dtype: object"
대공원로97번길,4310101,"0    LINESTRING (129.2940214030566 35.5318519895062...
Name: geometry, dtype: object"
대공원로99번길,4310102,"0    LINESTRING (129.2940214030566 35.5318519895062...
Name: geometry, dtype: object"
대공원로99번길,4310102,"0    LINESTRING (129.2945876778804 35.5317488313520...
Name: geometry, dtype: object"
대암로129번길,4310107,"0    LINESTRING (129.3296363880795 35.5303746677635...
Name: geometry, dtype: object"
대암로129번길,4310107,"0    LINESTRING (129.3296240678506 35.5295666094645...
Name: geometry, dtype: object"
대암로129번길,4310107,"0    LINESTRING (129.3299648263235 35.5303668157094...
Name: geometry, dtype: object"
대암로90번길,4310108,"0    LINESTRING (129.3253872938047 35.5297529221156...
Name: geometry, dtype: object"
대암로90번길,4310108,"0    LINESTRING (129.3253707395026 35.5291070175232...
Name: geometry, dtype: object"
대학로108번길,4310109,"0    LINESTRING (129.2604292802203 35.5443920018894...
Name: geometry, dtype: object"
대학로11번길,4310110,"0    LINESTRING (129.254215862772 35.53750940333983...
Name: geometry, dtype: object"
대학로11번길,4310110,"0    LINESTRING (129.2531712104883 35.5381222247906...
Name: geometry, dtype: object"
대학로11번길,4310110,"0    LINESTRING (129.2548333408497 35.5371476165448...
Name: geometry, dtype: object"
대학로121번길,4310111,"0    LINESTRING (129.2610362391359 35.5456519951871...
Name: geometry, dtype: object"
대학로131번길,4310112,"0    LINESTRING (129.2615178961315 35.5464140200889...
Name: geometry, dtype: object"
대학로145번길,4310113,"0    LINESTRING (129.2566614672166 35.5506602955993...
Name: geometry, dtype: object"
대학로145번길,4310113,"0    LINESTRING (129.2562582101616 35.5507314311997...
Name: geometry, dtype: object"
대학로145번길,4310113,"0    LINESTRING (129.2595127816884 35.5490759815776...
Name: geometry, dtype: object"
대학로145번길,4310113,"0    LINESTRING (129.2615449154615 35.5479374819913...
Name: geometry, dtype: object"
대학로147번길,4310114,"0    LINESTRING (129.2603414194615 35.5509928791351...
Name: geometry, dtype: object"
대학로147번길,4310114,"0    LINESTRING (129.2611660939296 35.5496608959246...
Name: geometry, dtype: object"
대학로147번길,4310114,"0    LINESTRING (129.2622067060715 35.5475037653343...
Name: geometry, dtype: object"
대학로15번길,4310115,"0    LINESTRING (129.254565311444 35.53790884569391...
Name: geometry, dtype: object"
대학로15번길,4310115,"0    LINESTRING (129.2535175539762 35.5385203517210...
Name: geometry, dtype: object"
대학로161번길,4310116,"0    LINESTRING (129.2629107884337 35.5489167312720...
Name: geometry, dtype: object"
대학로169번길,4310117,"0    LINESTRING (129.2632359466848 35.5495776203996...
Name: geometry, dtype: object"
대학로1번길,4310118,"0    LINESTRING (129.2542224806398 35.5364483752766...
Name: geometry, dtype: object"
대학로1번길,4310118,"0    LINESTRING (129.2524636425808 35.5373385087992...
Name: geometry, dtype: object"
대학로1번길,4310118,"0    LINESTRING (129.2524636425808 35.5373385087992...
Name: geometry, dtype: object"
대학로1번길,4310118,"0    LINESTRING (129.2528619361728 35.5366758758789...
Name: geometry, dtype: object"
대학로1번길,4310118,"0    LINESTRING (129.2532027231609 35.5363285627753...
Name: geometry, dtype: object"
대학로21번길,4310119,"0    LINESTRING (129.252828057134 35.53952317491363...
Name: geometry, dtype: object"
대학로21번길,4310119,"0    LINESTRING (129.2555269249937 35.5379415237000...
Name: geometry, dtype: object"
대학로21번길,4310119,"0    LINESTRING (129.2549119968911 35.5383016142099...
Name: geometry, dtype: object"
대학로21번길,4310119,"0    LINESTRING (129.2538675143854 35.5389138824609...
Name: geometry, dtype: object"
대학로27번길,4310120,"0    LINESTRING (129.2552569299233 35.5387005862964...
Name: geometry, dtype: object"
대학로27번길,4310120,"0    LINESTRING (129.2542186962492 35.5393090229113...
Name: geometry, dtype: object"
대학로33번길,4310121,"0    LINESTRING (129.2562287690483 35.5387278293923...
Name: geometry, dtype: object"
대학로33번길,4310121,"0    LINESTRING (129.2556011603925 35.5390959807012...
Name: geometry, dtype: object"
대학로33번길,4310121,"0    LINESTRING (129.2538710820821 35.5407144374447...
Name: geometry, dtype: object"
대학로33번길,4310121,"0    LINESTRING (129.2545623751721 35.5397051424380...
Name: geometry, dtype: object"
